id,gamePk,date,away,home,venue,day_night,fav,away_ml,home_ml,bucket,hand,actual_away,actual_home,away_won,quarantined,live_p_away,brier_live,p1_p_away,brier_p1,p2_p_away,brier_p2
2250755,823625,2026-05-25,CIN,NYM,Citi Field,day,home_fav,113,-136,<8,L-R,7.0,2.0,1.0,0,0.36719999999999997,0.40044,0.3553,0.41564,0.42612,0.32934
2251195,824986,2026-06-29,LAD,ATH,Sutter Health Park,night,away_fav,-120,-101,>9,L-L,9.0,4.0,1.0,0,0.36829999999999996,0.39904,0.3646,0.40373,0.41191,0.34585
2253784,825058,2026-07-20,ATH,ARI,Chase Field,night,home_fav,123,-149,8-9,UNK,5.0,2.0,1.0,0,0.3685,0.39879,0.3365,0.44023,0.38715,0.37559
2250686,824033,2026-05-19,ATH,LAA,Angel Stadium,night,home_fav,113,-136,8-9,L-L,14.0,6.0,1.0,0,0.3688,0.39841,0.3673,0.40031,0.43248,0.32208
2250992,823776,2026-06-13,PHI,MIL,American Family Field,night,home_fav,137,-166,8-9,R-L,9.0,8.0,1.0,0,0.369,0.39816,0.3732,0.39288,0.41766,0.33912
2250361,823638,2026-04-24,COL,NYM,Citi Field,night,home_fav,169,-207,<8,R-R,4.0,3.0,1.0,0,0.36920000000000003,0.39791,0.3374,0.43904,0.3374,0.43904
2251263,824413,2026-07-05,CWS,CLE,Progressive Field,day,home_fav,122,-147,8-9,UNK,7.0,6.0,1.0,1,0.3696,0.3974,0.3929,0.36857,0.42693,0.32841
2250991,824100,2026-06-13,HOU,KC,Kauffman Stadium,night,home_fav,104,-125,>9,R-L,8.0,7.0,1.0,0,0.3704,0.3964,0.3258,0.45455,0.38551,0.3776
2251024,824912,2026-06-16,SF,ATL,Truist Park,night,home_fav,144,-175,8-9,R-R,7.0,2.0,1.0,0,0.3718,0.39464,0.3847,0.37859,0.42529,0.33029
2251450,823759,2026-07-24,COL,MIL,American Family Field,day,home_fav,234,-294,8-9,R-L,5.0,2.0,1.0,0,0.3718,0.39464,0.3843,0.37909,0.42095,0.3353
2251067,823124,2026-06-19,BOS,SEA,T-Mobile Park,night,home_fav,-103,-117,<8,L-R,6.0,2.0,1.0,0,0.37189999999999995,0.39451,0.367,0.40069,0.41352,0.34396
2250756,824437,2026-05-25,WSH,CLE,Progressive Field,night,home_fav,144,-175,8-9,L-R,10.0,2.0,1.0,0,0.373,0.39313,0.4188,0.33779,0.45916,0.29251
