dim,slice,n_games,live_pure_n,live_pure_bias,live_pure_ci_lo,live_pure_ci_hi,live_pure_mae,live_pure_mean_proj,live_pure_mean_actual,live_pure_flag_bias,live_pure_flag_bias_centered,live_rule_n,live_rule_bias,live_rule_ci_lo,live_rule_ci_hi,live_rule_mae,live_rule_mean_proj,live_rule_mean_actual,live_rule_flag_bias,live_rule_flag_bias_centered,p1_n,p1_bias,p1_ci_lo,p1_ci_hi,p1_mae,p1_mean_proj,p1_mean_actual,p1_flag_bias,p1_flag_bias_centered,p2_n,p2_bias,p2_ci_lo,p2_ci_hi,p2_mae,p2_mean_proj,p2_mean_actual,p2_flag_bias,p2_flag_bias_centered,live_ml_n,live_brier,live_hit,live_mean_p_away,live_actual_away_rate,live_brier_dev,live_flag_brier,p1_ml_n,p1_brier,p1_hit,p1_mean_p_away,p1_actual_away_rate,p1_brier_dev,p1_flag_brier,p2_ml_n,p2_brier,p2_hit,p2_mean_p_away,p2_actual_away_rate,p2_brier_dev,p2_flag_brier
park,CHC,52,29,-1.7662,-3.9117,0.3793,4.689,8.5441,10.3103,0,0,51,-1.1612,-2.5564,0.2341,3.9996,8.5055,9.6667,0,0,52,-0.7835,-2.1776,0.6107,4.0708,8.9088,9.6923,0,0,52,-0.6006,-1.9975,0.7962,4.0709,9.0917,9.6923,0,0,51,0.2467,0.549,0.4324,0.4314,-0.0005,0,52,0.2213,0.6731,0.4162,0.4231,-0.0258,1,52,0.2286,0.6731,0.4372,0.4231,-0.0185,1
park,CIN,50,29,0.5203,-1.09,2.1307,3.6672,9.1755,8.6552,0,0,50,0.1818,-1.0263,1.3899,3.667,8.9818,8.8,0,0,50,0.1072,-1.1168,1.3312,3.6972,8.9072,8.8,0,0,50,0.2748,-0.95,1.4997,3.6967,9.0748,8.8,0,0,50,0.2481,0.54,0.463,0.56,0.0009,0,50,0.2555,0.48,0.4627,0.56,0.0084,0,50,0.2526,0.48,0.4717,0.56,0.0055,0
park,CLE,53,34,-1.3182,-2.5384,-0.0981,3.1547,7.6229,8.9412,0,0,53,-0.6381,-1.672,0.3957,3.2879,7.5506,8.1887,0,0,53,-0.2157,-1.2387,0.8074,3.1911,7.973,8.1887,0,0,53,-0.0413,-1.0558,0.9732,3.1532,8.1474,8.1887,0,0,53,0.2591,0.4528,0.453,0.4906,0.0119,1,53,0.2491,0.5472,0.435,0.4906,0.002,0,53,0.2476,0.5472,0.4516,0.4906,0.0005,0
park,COL,53,34,-0.4662,-2.0003,1.0679,3.5409,11.3279,11.7941,0,0,49,-0.4255,-1.6983,0.8473,3.6406,11.1051,11.5306,0,0,53,0.6983,-0.5188,1.9154,3.6564,11.9625,11.2642,0,0,53,0.9655,-0.2404,2.1713,3.6664,12.2296,11.2642,0,0,49,0.2592,0.449,0.5116,0.5102,0.012,1,53,0.2591,0.5283,0.4644,0.5472,0.012,1,53,0.2548,0.5283,0.4722,0.5472,0.0077,0
park,CWS,49,31,-0.8052,-2.5183,0.9079,3.6665,8.3239,9.129,0,0,48,-0.4992,-1.8396,0.8412,3.5346,8.2925,8.7917,0,0,49,-0.6551,-1.9703,0.6601,3.5008,8.1408,8.7959,0,0,49,-0.4742,-1.7833,0.8349,3.494,8.3217,8.7959,0,0,48,0.2358,0.625,0.4719,0.375,-0.0114,1,49,0.2369,0.6327,0.4614,0.3673,-0.0102,1,49,0.243,0.6327,0.4739,0.3673,-0.0041,0
park,DET,52,34,0.3574,-0.7574,1.4721,2.6074,7.9162,7.5588,0,0,51,-0.0657,-1.1558,1.0244,3.0029,7.9147,7.9804,0,0,52,0.1842,-0.9194,1.2879,3.0327,8.0881,7.9038,0,0,52,0.3718,-0.74,1.4837,3.1064,8.2757,7.9038,0,0,51,0.2465,0.5882,0.4351,0.4314,-0.0007,0,52,0.2367,0.5769,0.4263,0.4423,-0.0104,1,52,0.2353,0.5769,0.4492,0.4423,-0.0118,1
park,HOU,53,34,0.3053,-1.2419,1.8525,3.5853,8.7465,8.4412,0,0,53,-0.5211,-1.7627,0.7205,3.734,8.7053,9.2264,0,0,53,-0.4668,-1.6998,0.7662,3.6657,8.7596,9.2264,0,0,53,-0.2937,-1.5367,0.9493,3.6838,8.9327,9.2264,0,0,53,0.2527,0.5283,0.4566,0.5094,0.0055,0,53,0.2537,0.4906,0.4346,0.5094,0.0066,0,53,0.2516,0.4906,0.4517,0.5094,0.0045,0
park,KC,53,30,-1.6023,-3.5754,0.3707,4.3477,8.431,10.0333,0,0,52,-1.1071,-2.5911,0.3768,4.2102,8.5275,9.6346,0,0,53,-0.9872,-2.4283,0.454,4.154,8.7109,9.6981,0,0,53,-0.7925,-2.2437,0.6588,4.235,8.9057,9.6981,0,0,52,0.2471,0.5385,0.4642,0.5,-0.0001,0,53,0.2626,0.4717,0.4283,0.5094,0.0155,1,53,0.2604,0.4717,0.4437,0.5094,0.0133,1
park,LAA,52,34,-0.0615,-1.5614,1.4384,3.5721,8.6444,8.7059,0,0,52,0.4117,-0.7048,1.5283,3.2298,8.5848,8.1731,0,0,52,0.4283,-0.6838,1.5403,3.2467,8.6013,8.1731,0,0,52,0.6259,-0.4831,1.7349,3.2996,8.799,8.1731,0,0,52,0.25,0.5385,0.4847,0.5385,0.0028,0,52,0.2496,0.5192,0.4593,0.5385,0.0025,0,52,0.2466,0.5192,0.4697,0.5385,-0.0005,0
park,LAD,50,29,-0.3421,-2.0376,1.3534,3.571,8.6234,8.9655,0,0,50,0.1616,-0.9862,1.3094,3.2312,8.5416,8.38,0,0,50,0.336,-0.7873,1.4593,3.2528,8.716,8.38,0,0,50,0.5135,-0.6066,1.6336,3.2971,8.8935,8.38,0,0,50,0.2322,0.64,0.3881,0.38,-0.015,1,50,0.2388,0.6,0.3972,0.38,-0.0083,0,50,0.2379,0.6,0.4208,0.38,-0.0092,0
park,MIA,52,26,0.6454,-0.7653,2.0561,3.0815,8.03,7.3846,0,0,51,0.2114,-0.8139,1.2367,3.0416,8.0741,7.8627,0,0,52,0.4452,-0.5641,1.4545,3.071,8.2913,7.8462,0,0,52,0.6281,-0.3804,1.6365,3.1059,8.4742,7.8462,0,0,51,0.2338,0.6078,0.4482,0.4118,-0.0134,1,52,0.2432,0.5769,0.4494,0.4038,-0.0039,0,52,0.2476,0.5769,0.4641,0.4038,0.0005,0
park,MIL,54,33,-0.04,-1.6228,1.5428,3.4497,8.1418,8.1818,0,0,54,-0.5244,-1.7579,0.709,3.5341,7.9756,8.5,0,0,54,-0.3967,-1.6207,0.8274,3.5237,8.1033,8.5,0,0,54,-0.2461,-1.4778,0.9855,3.584,8.2539,8.5,0,0,54,0.2416,0.6111,0.4152,0.3704,-0.0056,0,54,0.2393,0.6481,0.422,0.3704,-0.0078,0,54,0.2422,0.6481,0.4426,0.3704,-0.0049,0
park,MIN,52,32,0.5363,-1.035,2.1075,3.7869,9.2238,8.6875,0,0,52,-0.3623,-1.5976,0.873,3.6381,8.7146,9.0769,0,0,52,0.0921,-1.0987,1.2829,3.5498,9.169,9.0769,0,0,52,0.267,-0.935,1.469,3.6005,9.3439,9.0769,0,0,52,0.2524,0.4423,0.4569,0.5,0.0052,0,52,0.2577,0.5385,0.4297,0.5,0.0106,1,52,0.2577,0.5385,0.4499,0.5,0.0106,1
park,NYM,50,32,-1.1428,-2.7402,0.4546,3.1809,8.4822,9.625,0,0,50,-1.1514,-2.4819,0.1791,3.3758,8.1086,9.26,0,0,50,-0.3354,-1.6939,1.0231,3.5158,8.9246,9.26,0,0,50,-0.1704,-1.5246,1.1839,3.5343,9.0896,9.26,0,0,50,0.262,0.52,0.4505,0.58,0.0148,1,50,0.2666,0.46,0.4286,0.58,0.0195,1,50,0.27,0.46,0.4433,0.58,0.0229,1
park,NYY,49,29,0.9069,-0.6556,2.4694,3.7414,8.8379,7.931,0,0,48,-0.2646,-1.5767,1.0475,3.8229,8.7562,9.0208,0,0,49,-0.3839,-1.6547,0.8869,3.7557,8.6773,9.0612,0,0,49,-0.196,-1.4746,1.0825,3.753,8.8652,9.0612,0,0,48,0.2461,0.5625,0.4104,0.4792,-0.0011,0,49,0.2446,0.5714,0.4085,0.4694,-0.0025,0,49,0.2451,0.5714,0.4341,0.4694,-0.002,0
park,PHI,53,29,-0.2421,-2.0234,1.5393,4.0434,8.8614,9.1034,0,0,52,-0.76,-1.9723,0.4523,3.5915,8.6246,9.3846,0,0,53,-0.1051,-1.3188,1.1086,3.6402,9.3477,9.4528,0,0,53,0.0712,-1.1475,1.29,3.6617,9.5241,9.4528,0,0,52,0.2313,0.5962,0.4386,0.4808,-0.0159,1,53,0.2228,0.6038,0.4373,0.4906,-0.0243,1,53,0.2286,0.6038,0.4545,0.4906,-0.0185,1
park,PIT,52,32,-2.0206,-3.7943,-0.247,4.6887,8.7919,10.8125,0,0,52,-2.1281,-3.6287,-0.6275,4.77,8.5065,10.6346,1,1,52,-1.7398,-3.2353,-0.2443,4.6587,8.8948,10.6346,1,1,52,-1.5513,-3.0449,-0.0577,4.6037,9.0833,10.6346,1,1,52,0.2685,0.4615,0.441,0.4808,0.0213,1,52,0.2719,0.4808,0.4337,0.4808,0.0248,1,52,0.2682,0.4808,0.4509,0.4808,0.0211,1
park,SD,51,28,0.1196,-1.3923,1.6316,3.0318,7.5125,7.3929,0,0,50,-0.123,-1.1761,0.9301,2.9278,7.697,7.82,0,0,51,0.2255,-0.8576,1.3086,3.0541,7.951,7.7255,0,0,51,0.3972,-0.702,1.4964,3.1452,8.1227,7.7255,0,0,50,0.2445,0.6,0.4549,0.46,-0.0027,0,51,0.2421,0.5686,0.4535,0.4706,-0.005,0,51,0.2423,0.5686,0.4685,0.4706,-0.0048,0
park,SEA,53,30,0.342,-0.7578,1.4418,2.452,7.2087,6.8667,0,0,53,-0.0517,-0.9175,0.8141,2.5389,7.3257,7.3774,0,0,53,-0.12,-0.9965,0.7565,2.5653,7.2574,7.3774,0,0,53,0.0332,-0.8495,0.916,2.5957,7.4106,7.3774,0,0,53,0.2391,0.566,0.4198,0.434,-0.0081,0,53,0.2395,0.566,0.4221,0.434,-0.0076,0,53,0.2395,0.566,0.4415,0.434,-0.0076,0
park,SF,48,26,-0.6688,-2.3992,1.0615,3.6904,8.1388,8.8077,0,0,48,-0.4665,-1.6894,0.7565,3.5198,7.9502,8.4167,0,0,48,-0.2152,-1.4031,0.9727,3.4227,8.2015,8.4167,0,0,48,-0.0527,-1.2295,1.1241,3.4156,8.3639,8.4167,0,0,47,0.2573,0.4681,0.4621,0.5106,0.0101,1,48,0.2534,0.5208,0.4422,0.5208,0.0063,0,48,0.2518,0.5208,0.4592,0.5208,0.0047,0
park,STL,54,33,0.6827,-0.5927,1.9581,3.1421,8.3191,7.6364,0,0,53,0.1892,-0.9644,1.3429,3.3809,8.3025,8.1132,0,0,54,0.1456,-0.9764,1.2675,3.3267,8.2567,8.1111,0,0,54,0.3213,-0.8089,1.4515,3.3889,8.4324,8.1111,0,0,53,0.2521,0.5385,0.4704,0.5094,0.0049,0,54,0.2514,0.5741,0.4545,0.5185,0.0043,0,54,0.2502,0.5741,0.469,0.5185,0.0031,0
park,TB,51,33,-1.5212,-3.1966,0.1542,3.8115,8.2364,9.7576,0,0,51,-0.8667,-2.1045,0.3712,3.2898,8.1137,8.9804,0,0,51,-0.6155,-1.857,0.626,3.3963,8.3649,8.9804,0,0,51,-0.4276,-1.6712,0.8159,3.4291,8.5528,8.9804,0,0,51,0.2286,0.7059,0.4309,0.2941,-0.0186,1,51,0.2264,0.6471,0.4205,0.2941,-0.0207,1,51,0.234,0.6471,0.4466,0.2941,-0.0131,1
park,TEX,50,32,-2.7628,-4.0032,-1.5224,3.7516,7.0809,9.8438,0,0,49,-0.9676,-2.1285,0.1934,3.5112,7.359,8.3265,0,0,50,-0.541,-1.5926,0.5106,3.1298,7.739,8.28,0,0,50,-0.3722,-1.4135,0.669,3.0876,7.9078,8.28,0,0,49,0.2485,0.551,0.4521,0.4898,0.0013,0,50,0.246,0.56,0.4441,0.48,-0.0011,0,50,0.2451,0.56,0.4622,0.48,-0.002,0
park,TOR,56,35,-0.0489,-1.4682,1.3705,3.4986,8.3797,8.4286,0,0,56,-0.3788,-1.5293,0.7718,3.6062,8.2284,8.6071,0,0,56,0.1093,-1.0677,1.2863,3.765,8.7164,8.6071,0,0,56,0.2678,-0.9117,1.4474,3.7883,8.875,8.6071,0,0,56,0.2562,0.5179,0.4564,0.5357,0.009,0,56,0.2536,0.5,0.4373,0.5357,0.0065,0,56,0.2499,0.5,0.4533,0.5357,0.0028,0
park,WSH,52,33,-0.4958,-2.2744,1.2829,3.9455,10.4436,10.9394,0,0,51,-1.4482,-2.835,-0.0615,4.2294,9.8067,11.2549,1,0,52,-0.9715,-2.2986,0.3555,3.9512,10.2977,11.2692,0,0,52,-0.7348,-2.0694,0.5999,3.9454,10.5345,11.2692,0,0,51,0.2463,0.549,0.4692,0.6275,-0.0009,0,52,0.2455,0.5769,0.4742,0.6154,-0.0016,0,52,0.2453,0.5769,0.4836,0.6154,-0.0018,0
day_night,day,585,325,-0.4987,-0.9974,-0.0,3.5192,8.5936,9.0923,1,0,576,-0.5027,-0.8728,-0.1327,3.549,8.4695,8.9722,1,0,585,-0.2263,-0.5875,0.135,3.5123,8.784,9.0103,0,0,585,-0.0495,-0.4116,0.3126,3.5397,8.9608,9.0103,0,0,575,0.2467,0.554,0.4502,0.4609,-0.0005,0,585,0.2462,0.5658,0.4382,0.4632,-0.0009,0,585,0.2471,0.5658,0.4541,0.4632,-0.0,0
day_night,night,970,622,-0.5514,-0.9058,-0.1971,3.534,8.6125,9.164,1,0,961,-0.5671,-0.8486,-0.2856,3.4882,8.4922,9.0593,1,0,970,-0.2369,-0.5162,0.0424,3.4938,8.8023,9.0392,0,0,970,-0.0485,-0.3284,0.2315,3.5213,8.9907,9.0392,0,0,961,0.2476,0.5515,0.4481,0.4849,0.0004,0,970,0.2476,0.5464,0.4371,0.4876,0.0005,0,970,0.247,0.5464,0.4544,0.4876,-0.0001,0
fav,UNKNOWN,1,0,,,,,,,0,0,0,,,,,,,0,0,1,-0.57,,,0.57,8.43,9.0,0,0,1,-0.57,,,0.57,8.43,9.0,0,0,0,,,,,,0,1,0.21,1.0,0.4583,0.0,-0.0371,0,1,0.21,1.0,0.4583,0.0,-0.0371,0
fav,away_fav,494,303,-0.1626,-0.6702,0.345,3.4906,8.9166,9.0792,0,0,489,-0.3911,-0.793,0.0107,3.5596,8.7418,9.1329,0,0,494,-0.0881,-0.4871,0.3109,3.5715,9.0334,9.1215,0,0,494,0.1075,-0.2927,0.5078,3.6095,9.229,9.1215,0,0,488,0.2523,0.5072,0.4903,0.5594,0.0051,0,494,0.2515,0.5304,0.4743,0.5648,0.0044,0,494,0.2504,0.5304,0.4809,0.5648,0.0033,0
fav,home_fav,1038,633,-0.7206,-1.0732,-0.3679,3.531,8.4627,9.1833,1,0,1027,-0.6058,-0.8771,-0.3344,3.4665,8.367,8.9727,1,0,1038,-0.2969,-0.5637,-0.0301,3.4445,8.6887,8.9855,1,0,1038,-0.1178,-0.3851,0.1495,3.467,8.8678,8.9855,0,0,1027,0.2449,0.5725,0.4289,0.4372,-0.0023,0,1038,0.2448,0.5665,0.4194,0.4383,-0.0023,0,1038,0.2454,0.5665,0.4413,0.4383,-0.0017,0
fav,pickem,22,11,0.0282,-3.1379,3.1943,4.4645,8.3009,8.2727,0,0,21,-1.009,-3.3339,1.3158,4.5529,8.1814,9.1905,0,0,22,-0.4486,-2.7579,1.8607,4.7014,8.5059,8.9545,0,0,22,-0.283,-2.6023,2.0362,4.7258,8.6715,8.9545,0,0,21,0.2429,0.619,0.4621,0.4286,-0.0043,0,22,0.2589,0.4545,0.4653,0.4545,0.0118,0,22,0.2529,0.4545,0.4703,0.4545,0.0058,0
bucket,8-9,874,519,-0.5657,-0.9551,-0.1764,3.6093,8.4863,9.052,1,0,865,-0.4903,-0.7853,-0.1953,3.5211,8.4623,8.9526,1,0,874,-0.2295,-0.5206,0.0616,3.5068,8.7145,8.9439,0,0,874,-0.0519,-0.3436,0.2398,3.5287,8.892,8.9439,0,0,865,0.2448,0.5671,0.4461,0.4532,-0.0024,0,874,0.2438,0.5698,0.4339,0.4542,-0.0033,0,874,0.2453,0.5698,0.4517,0.4542,-0.0018,0
bucket,<8,399,223,-0.3264,-0.8574,0.2046,3.1608,7.6915,8.0179,0,0,397,-0.5902,-1.005,-0.1753,3.283,7.5106,8.1008,1,0,399,-0.1544,-0.5656,0.2568,3.2792,7.9709,8.1253,0,0,399,0.0092,-0.4038,0.4221,3.3153,8.1345,8.1253,0,0,396,0.2477,0.5606,0.4456,0.4672,0.0005,0,399,0.2491,0.5614,0.4357,0.4712,0.002,0,399,0.2476,0.5614,0.4525,0.4712,0.0005,0
bucket,>9,281,205,-0.6765,-1.3666,0.0136,3.726,9.904,10.5805,0,0,275,-0.6407,-1.2322,-0.0491,3.8084,9.9557,10.5964,1,0,281,-0.3538,-0.9326,0.225,3.807,10.2192,10.573,0,0,281,-0.1197,-0.6995,0.46,3.8395,10.4532,10.573,0,0,275,0.2543,0.4945,0.4622,0.56,0.0071,0,281,0.2546,0.4911,0.4513,0.5658,0.0075,0,281,0.2518,0.4911,0.4649,0.5658,0.0047,0
bucket,UNKNOWN,1,0,,,,,,,0,0,0,,,,,,,0,0,1,-0.57,,,0.57,8.43,9.0,0,0,1,-0.57,,,0.57,8.43,9.0,0,0,0,,,,,,0,1,0.21,1.0,0.4583,0.0,-0.0371,0,1,0.21,1.0,0.4583,0.0,-0.0371,0
hand,L-L,128,81,-1.5215,-2.6834,-0.3595,4.241,8.676,10.1975,1,0,126,-0.8908,-1.7617,-0.0198,3.9724,8.506,9.3968,1,0,128,-0.6747,-1.536,0.1866,3.9331,8.7941,9.4688,0,0,128,-0.5075,-1.3671,0.352,3.9354,8.9612,9.4688,0,0,126,0.2439,0.5952,0.449,0.4603,-0.0033,0,128,0.2439,0.5859,0.4423,0.4688,-0.0032,0,128,0.2445,0.5859,0.4568,0.4688,-0.0026,0
hand,L-R,292,177,0.0589,-0.5579,0.6757,3.316,8.5561,8.4972,0,0,289,-0.1802,-0.6783,0.3179,3.3683,8.3838,8.564,0,0,292,0.1129,-0.3799,0.6058,3.3764,8.6609,8.5479,0,0,292,0.2962,-0.1986,0.7909,3.4231,8.8441,8.5479,0,0,288,0.2482,0.5243,0.4513,0.4722,0.001,0,292,0.2459,0.5651,0.4441,0.4726,-0.0012,0,292,0.2468,0.5651,0.46,0.4726,-0.0003,0
hand,R-L,303,181,-0.5649,-1.25,0.1203,3.5502,8.6396,9.2044,0,0,301,-0.6071,-1.1356,-0.0786,3.5817,8.5457,9.1528,1,0,303,-0.3026,-0.819,0.2137,3.543,8.8657,9.1683,0,0,303,-0.1073,-0.625,0.4104,3.5647,9.061,9.1683,0,0,301,0.251,0.5515,0.4502,0.4651,0.0038,0,303,0.2439,0.5644,0.4321,0.4653,-0.0032,0,303,0.2426,0.5644,0.4505,0.4653,-0.0045,0
hand,R-R,738,429,-0.5498,-0.9654,-0.1342,3.4673,8.5248,9.0746,1,0,727,-0.5617,-0.8782,-0.2452,3.4525,8.43,8.9917,1,0,738,-0.2233,-0.5348,0.0882,3.4409,8.7604,8.9837,0,0,738,-0.0453,-0.3576,0.267,3.4672,8.9384,8.9837,0,0,727,0.2453,0.5634,0.4482,0.4746,-0.0019,0,738,0.2497,0.542,0.4359,0.4783,0.0026,0,738,0.2496,0.542,0.4525,0.4783,0.0025,0
