gamePk,season,officialDate,gameDate,gameType,seriesDescription,doubleHeader,gameNumber,status,codedState,away,awayId,awayScore,home,homeId,homeScore,winner,loser,save,innings,venue,dayNight,seriesGameNumber,gamesInSeries,isTie,resumeDate,rescheduleDate
778563,2025,2025-03-18,2025-03-18T10:10:00Z,R,Regular Season,N,1,Final,F,Los Angeles Dodgers,119,4,Chicago Cubs,112,1,Yoshinobu Yamamoto,Ben Brown,Tanner Scott,9,Tokyo Dome,night,1,2,False,,
778564,2025,2025-03-19,2025-03-19T10:10:00Z,R,Regular Season,N,1,Final,F,Los Angeles Dodgers,119,6,Chicago Cubs,112,3,Landon Knack,Justin Steele,Alex Vesia,9,Tokyo Dome,night,2,2,False,,
778557,2025,2025-03-27,2025-03-27T19:05:00Z,R,Regular Season,N,1,Final,F,Milwaukee Brewers,158,2,New York Yankees,147,4,Carlos Rodón,Freddy Peralta,Devin Williams,9,Yankee Stadium,day,1,3,False,,
778556,2025,2025-03-27,2025-03-27T19:07:00Z,R,Regular Season,N,1,Final,F,Baltimore Orioles,110,12,Toronto Blue Jays,141,2,Zach Eflin,José Berríos,,9,Rogers Centre,day,1,4,False,,
778553,2025,2025-03-27,2025-03-27T20:05:00Z,R,Regular Season,N,1,Final,F,Boston Red Sox,111,5,Texas Rangers,140,2,Aroldis Chapman,Luke Jackson,Justin Slaten,9,Globe Life Field,day,1,4,False,,
778555,2025,2025-03-27,2025-03-27T20:05:00Z,R,Regular Season,N,1,Final,F,Philadelphia Phillies,143,7,Washington Nationals,120,3,José Alvarado,Colin Poche,,10,Nationals Park,day,1,3,False,,
778545,2025,2025-03-27,2025-03-27T20:10:00Z,R,Regular Season,N,1,Final,F,Atlanta Braves,144,4,San Diego Padres,135,7,Wandy Peralta,Héctor Neris,Robert Suarez,9,Petco Park,day,1,4,False,,
778554,2025,2025-03-27,2025-03-27T20:10:00Z,R,Regular Season,N,1,Final,F,Los Angeles Angels,108,1,Chicago White Sox,145,8,Sean Burke,Yusei Kikuchi,,9,Rate Field,day,1,3,False,,
778558,2025,2025-03-27,2025-03-27T20:10:00Z,R,Regular Season,N,1,Final,F,Cleveland Guardians,114,7,Kansas City Royals,118,4,Emmanuel Clase,Sam Long,Paul Sewald,10,Kauffman Stadium,day,1,3,False,,
778559,2025,2025-03-27,2025-03-27T20:10:00Z,R,Regular Season,N,1,Final,F,New York Mets,121,1,Houston Astros,117,3,Framber Valdez,Clay Holmes,Josh Hader,9,Daikin Park,day,1,3,False,,
778561,2025,2025-03-27,2025-03-27T20:10:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,6,Cincinnati Reds,113,4,Tyler Rogers,Ian Gibaut,Ryan Walker,9,Great American Ball Park,day,1,3,False,,
778562,2025,2025-03-27,2025-03-27T20:10:00Z,R,Regular Season,N,1,Final,F,Pittsburgh Pirates,134,4,Miami Marlins,146,5,Jesus Tinoco,David Bednar,,9,loanDepot park,day,1,4,False,,
